"species_profile.id","species_profile.binomial","species_profile.common_name","species_profile.iucn_status","species_profile.global_population","species_profile.local_abundance","species_profile.in_primary","species_profile.in_logged","species_profile.in_plantation","species_profile.animal_facts","species_profile.where_do_they_live","species_profile.habitat","species_profile.what_do_they_eat","species_profile.who_eats_them","species_profile.threatened_by","species_profile.image_link","species_profile.image_href","species_profile.image_title","species_profile.google_scholar_link","species_profile.wikipedia_link","species_profile.eol_link","species_profile.iucn_link","species_profile.arkive_link","species_profile.gbif_link"
1,"Elephas maximus","Asian Elephant","Endangered","decreasing","commonly seen",FALSE,TRUE,FALSE,"The Asian Elephant, a central part of many Southeast Asian cultures, is in slow decline.
Despite their huge size wild elephants are elusive, spending much of their time deep in the forests feeding on young palm and bamboo shoots and fresh leaves. In areas recently converted from forest to agricultural land herds of elephants cause great damage to crops and fruit orchards in their search for food, especially bananas. Elephants may spend up to 14–19 hrs a day feeding, during which they may consume up to 150 kg of wet weight. They defecate about 16–18 times a day, producing about 100 kg of dung. Dung also helps disperse germinating seeds. They are also a premier “flagship species” and are sometimes regarded as a “keystone species” because of their important ecological role and impact on the environment.
Females are generally docile, but large males can be aggressive. Males have tusks up to 1.5 metres long. They are active by day and night, and are able swimmers.
The life span of Asian elephants is 60 to 70 years, and males reach sexual maturity at between 10–15 years of age; females usually first give birth in years 15 or 16. The male can grow to reach a height of 2.6m and the female 2.2m.","Bangladesh; Bhutan; Cambodia; China; India; Indonesia (Kalimantan, Sumatera); Lao People’s Democratic Republic; Malaysia (Peninsular Malaysia, Sabah); Myanmar; Nepal; Sri Lanka; Thailand; Vietnam.","Asian elephants are generalists and they occur in grassland, tropical evergreen forest, semi-evergreen forest, moist deciduous forest, dry deciduous forested and dry thorn forest, in addition to cultivated and secondary forests and scrublands. Over this range of habitat types elephants are seen from sea level to over 3,000m at sea level.","Given their physiology and energy requirements, elephants need to consume large quantities of food per day. They are generalists and browse and graze on a variety of plants. The proportions of the different plant types in their diet vary depending upon the habitat and season.","Carnivorous pack mammals.","Habitat loss, degradation, and fragmentation which are driven by an expanding human population, and lead in turn to increasing conflicts between humans and elephants when elephants eat or trample crops. Poaching for ivory is also a major threat to the elephant.","http://farm9.staticflickr.com/8142/6963643892_bf1f8678e5.jpg","http://www.flickr.com/photos/berniedup/6963643892/","Asian Elephant Elephas maximus by berniedup, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=elephas+maximus&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Asian_elephant","http://eol.org/pages/997407/overview","http://www.iucnredlist.org/details/7140/0","http://www.arkive.org/asian-elephant/elephas-maximus/","http://data.gbif.org/species/5219461/"
2,"Hemigalus derbyanus","Banded Civet","Vulnerable","decreasing","sometimes seen",FALSE,TRUE,FALSE,"It is nocturnal and mainly terrestrial in habits, but is recognised as a good climber and is known to rest by day either in holes in the ground or in tree holes. The fur of the banded palm civet is one of the most distinctively marked of all civet species. Its patterning is unmistakable, comprising a buff to brown body colour adorned with a series of 7 or 8 tapering dark bars across the back. The face is patterned with dark stripes and the neck with broken dark bands.
The banded palm civet is solitary animal that only comes out under the cover of night to hunt and catch food. These nocturnal animals are primarily ground-dwelling and highly territorial. Despite being predominately ground-dwelling though the banded palm civet is known to climb up into the trees either in search of food or to hide from approaching predators.
The female banded palm civet usually gives birth to up to a maximum of 4 young after a gestation period that lasts for a couple of months. The babies are weaned by their mother until they are strong enough to fend for themselves. Banded palm civets can live for up to 20 years, although most rarely get to be this old.","Indonesia (Kalimantan, Sumatera); Malaysia (Peninsular Malaysia, Sabah, Sarawak); Myanmar; Thailand.","Primary lowland rainforest, but also in disturbed habitat, peat swamp forest and acacia plantations In Borneo, it was found at elevations up to 1,200 m.","Insects, small animals such as rodents, lizards, snakes and frogs.","Humans large snakes and big cats such as the leopard.","Human settlement expansion and creation of plantations causing habitat loss and degradation. They are also hunted for food. ","http://farm7.staticflickr.com/6008/6011956932_69a6465360.jpg","http://www.flickr.com/photos/7326810@N08/6011956932/","Banded civet by Just chaos, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=hemigalus+derbyanus&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Banded_palm_civet","http://eol.org/pages/328084/overview","http://www.iucnredlist.org/details/41689/0","http://www.arkive.org/banded-civet/hemigalus-derbyanus/","http://data.gbif.org/species/2434623/"
3,"Muntiacus muntjak","Barking Deer","Least Concern","decreasing","commonly seen",TRUE,TRUE,TRUE,"These animals are incredibly alert and get their name from the barking alarm call made when threatened they are also known as the Bornean red muntjac.
They are a relatively common deer and are mostly diurnal although have been known to exhibit nocturnal activity as well. They are mostly solitary animals that are very territorial, they can defend themselves effectively even against dogs.
They have short, thick dense coats; the males have short antlers that can regrow if lost through fighting, they also have slightly elongated canines about an inch long, these curve upwards from the lips and can inflict serious injury. The females instead of antlers have tufts of hair and small bony knobs.
They give birth to one fawn (occasionally twins) after a gestation of 6-7 months and can reproduce throughout the year. The young will leave its mother at around six months of age and become sexually mature at 1-2 years old.","Brunei Darussalam, Indonesia, Malaysia, Thailand.","Associated with forests, occur widely even in heavily degraded forests and places adjacent to forests such as plantations (coffee, rubber, sugarcane, cassava, coconut and teak).","Their diet consists of mostly fruits, buds, slender leaves, flowers, herbs and young grass.","Tigers, leopards, birds of prey and humans.","Habitat encroachment and hunting, the latter has increased alongside logging. Sought after wild meat, skins are also used and a source of traditional medicine. ","http://farm6.staticflickr.com/5203/5342035482_c7553fd369.jpg","http://www.flickr.com/photos/tariquesani/5342035482/","Indian Muntjac (Muntiacus muntjak) by Tarique Sani, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=muntiacus+muntjak&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Indian_muntjac","http://eol.org/pages/308397/overview","http://www.iucnredlist.org/details/42190/0","http://www.arkive.org/southern-red-muntjac/muntiacus-muntjak/","http://data.gbif.org/species/2440943/"
4,"Sus barbatus","Bearded Pig","Vulnerable","decreasing","often seen",FALSE,TRUE,FALSE,"Bearded pigs get their name from the yellowish whiskers on the side of the face and over the bridge of the nose. These form the “beard” after which this pig is named. The latin word Sus means ‘pig’ and barbatus means ‘bearded’. There are two currently recognised bearded pig species.
They live in stable family groups. After a gestation of about 4 months, the female makes a nest of plant material and gives birth to 3-11 young. They stay with her for about a year. When the piglets are born they have a stripy coat. This acts as camouflage and helps to protect them from predation as they hide in the bushes.
These pigs like to move about a lot and can travel as far as 22km in a month. These pigs are not afraid of getting wet as they regularly swim across rivers, sometimes coastal bays and even out to sea!","Malaysia and the islands of Sumatra and Borneo in Asia.","Tropical forest and mangroves.","Fruits, roots, tubers, seedlings, earthworms and carrion (dead meat). They are omnivores.","The main predators of Bearded pigs are tiger, leopard, clouded leopard, python and humans.","The Bearded Pig is a local food source. Their meat is culturally and economically important and therefore it is the most frequently hunted wildlife species in the area. Improved access into the forests and destruction of their natural habitats by logging and agricultural activities has increased hunting pressure on the Bearded pigs.","http://farm9.staticflickr.com/8481/8220051061_6e6f409174.jpg","http://www.flickr.com/photos/berniedup/8220051061/","Bearded Pigs Sus barbatus by berniedup, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=sus+barbatus&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Bornean_bearded_pig","http://eol.org/pages/328321/overview","http://www.iucnredlist.org/details/41772/0","http://www.arkive.org/bearded-pig/sus-barbatus/","http://data.gbif.org/species/2441222/"
5,"Arctictis binturong","Binturong","Vulnerable","decreasing","sometimes seen",TRUE,TRUE,TRUE,"The Binturong, which is the Malay name for “bear cat,” is a carnivore related to the palm civets. It looks like a large shaggy mongoose. The hair on its tail is longer than that on the body, and tufts of long hair sprout from the backs of the ears. The fur is black sprinkled with brown or grey on the tips of the hairs. The long whiskers, the ear tufts, and sometimes the face are white. They are nocturnal and excellent climbers. 
They belong to the same family as other small carnivores including Civets, Genets, Mongooses and Fossa and share a number of characteristics with them including a long snout and having more teeth than most other carnivorous mammals. Like other members of the Civet family, the Binturong has scent glands which are located just under it’s tail. These glands are used to mark trees and foliage to outline an individual’s territory and is distributed whilst the Binturong is moving about. Oddly enough, the odour of this scent is said to smell like popcorn as are Binturong cubs when they are newborn. Until they became stronger and are more aware of their surroundings, young Binturong are incredibly vulnerable and are able to spray foul smelling liquid (like a Skunk) when they are really frightened. When climbing, the Binturong is actually able to rotate it’s hind legs backwards so that their claws still have a good grip when climbing down a tree head first.
After a gestation period that lasts for around 3 months and has a litter of 1-3 cubs. They reach their adult size after a year. The Binturong is thought to live for between 10 and 15 years. Binturongs measure up to six feet in overall length, and weigh up to 30 pounds.","Bangladesh; Bhutan; Brunei Darussalam; Cambodia; China; India; Indonesia (Jawa, Kalimantan, Sumatera); Lao People’s Democratic Republic; Malaysia (Peninsular Malaysia, Sabah, Sarawak); Myanmar; Nepal; Philippines; Thailand; Vietnam.","Tall forest, evergreen forest, In the Philippines, the species is found in primary and secondary lowland forest, including grassland/forest mosaic from sea level to 400 m.","Mainly fruit, although they are also known to hunt insects, birds, fish and rodents.","Tigers and Snakes would pose the biggest threat to the Binturong adults, along with Birds of Prey and small carnivores that could easily target one of the young cubs.","The major threats facing this specie include; the pet trade, human consumption and habitat loss; particularly in the more southern parts of it’s natural range. The biggest threat to the world’s Binturong population though is people via deforestation and expanding human populations.","http://farm2.staticflickr.com/1099/1167535573_3d929a7845.jpg","http://www.flickr.com/photos/chi-liu/1167535573/","Binturong by Chi Liu, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=arctictis+binturong&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Binturong","http://eol.org/pages/328085/overview","http://www.iucnredlist.org/details/41690/0","http://www.arkive.org/binturong/arctictis-binturong/","http://data.gbif.org/species/2434615/"
6,"Hylobates muelleri","Bornean Gibbon","Endangered","decreasing","commonly seen",TRUE,TRUE,TRUE,"Also known as the Müller’s Bornean Gibbon, Bornean Grey Gibbon, Borneo Gibbon, Grey Gibbon, and Müller’s Gibbon. The species is endemic to Borneo, and is confined to tall primary rainforest in lowland and lower montane areas. The fur colour of the Bornean Gibbon is typically grey-brown, though this can vary greatly. The brow is pale cream to white.
Gibbons are exclusively diurnal and arboreal, and rearly descend to the ground. They travel mostly in trees by swinging from branch to branch via brachiation. This mode of locomotion involves extending their long arms over their head in order to hook their hands onto branches.  They are able to cover three meters in a single swing and around 850 meters per day. Bornean gibbons walk upright with hands over head for balance when walking on the ground, although they do not cover long distances in this fashion. They are not good swimmers and avoid open water.
Gibbons are monogamous and occur in small family groups generally comprising a male, female and their young. Most gibbons produce offspring every 2 to 3 years. Nursing may last as long as two years. Because young typically stay with their parents until they reach maturity. It is thought their life span in up to 25 years in the wild.","Brunei Darussalam; Indonesia (Kalimantan); Malaysia (Sabah).","Tropical evergreen forests of primary, selectively logged and secondary forest types.","Fruits high in sugar, immature leaves and insects.","Large birds of prey.","Human settlement expansion and creation of plantations causing habitat loss and degradation. Hunted for food and the pet trade.","http://farm3.staticflickr.com/2208/1525206175_fff12ff20f.jpg","http://www.flickr.com/photos/chi-liu/1525206175/","Mueller's Gibbon by Chi Liu, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=hylobates+muelleri&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Müller's_Bornean_gibbon","http://eol.org/pages/1038641/overview","http://www.iucnredlist.org/details/10551/0","http://www.arkive.org/bornean-gibbon/hylobates-muelleri/","http://data.gbif.org/species/5219548/"
7,"Nycticebus menagensis","Bornean Slow Loris","Vulnerable","decreasing","rarely seen",FALSE,TRUE,FALSE,"One of the smallest in the slow loris family they are recognised by their pale golden to reddish fur and lack of markings on the face. As with all slow loris’ they have a vestigial tail, round head, short ears and a curved toilet claw for grooming. Additionally they have a gland that produces an oily toxin used in defence.
A nocturnal primate who is predominantly arboreal and generally occur in low densities making them difficult to come by but have been observed singly, as mother offspring pairs or in adult trios. ","Found in Brunei, Indonesia, Malaysia and the Philippines.","Primary and secondary lowland forest, gardens and plantations, locals have seen them in citrus trees, maybe tolerant to variety of habitats.","Little known about their diet but believed to eat insects, some small mammals and pulpy fruits. Also been observed eating gum (tree sap) from woody plants.","","Habitat loss through burning and alteration in particular oil palm plantations, relatively adaptable but severe forest loss in its region must have had some negative impacts. Collected locally as pets.","http://farm8.staticflickr.com/7197/6966261039_b83ceaaef3.jpg","http://www.flickr.com/photos/9851294@N07/6966261039/","Bornean Slow Loris by mishko2007, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=nycticebus+menagensis&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Bornean_slow_loris","http://eol.org/pages/7242855/overview","http://www.iucnredlist.org/details/39760/0","http://www.arkive.org/bornean-slow-loris/nycticebus-menagensis/","http://data.gbif.org/species/5786051/"
8,"Pongo pygmaeus","Bornean Orangutan","Endangered","decreasing","often seen",TRUE,TRUE,TRUE,"Orangutans are the largest arboreal mammal on earth today. They are semi-solitary with a complex community based on loose relationships. They are believed to be the ‘gardeners’ of the forest as they play a vital role in seed dispersal, especially large seeds. They are highly dependent on fruit and its availability directly affects all aspects of their life, including ranging patterns, seasonal movements, and health, social and reproductive behaviour.
They are the only primates to have 2 different forms of mature males; firstly the flanged male (small inset picture) who has a long coat of dark hair on his back, facial disks, flanges and a throat sack for making ‘long calls’ – they are generally aggressive to and intolerant of other males. Secondly, there is the un-flanged males who are similar to an adult female in size and appearance, do not omit long calls and are more tolerant. Both types of male are successful reproductively.
Females mature at the age of 10-15 years old and will reproduce every 6-8 years thereafter. They will give birth to a single infant after a pregnancy of approximately 245 days.","Endemic to Borneo, present in 2 Malaysian states (Sabah and Sarawak) and in 3 of the 4 Indonesian provinces.","Low lying forest including flood prone forests and peat swamps.","Eat more than 500 species of plant, and fruits make up 60% of their average intake. Diet includes leaves, bark, fruit, flowers and insects.","","Habitat loss to agriculture (oil palm), fires, illegal logging, habitat exploitation and fragmentation, hunting (bush meat and traditional medicine) and illegal pet trade.","http://farm9.staticflickr.com/8456/8066226485_0740f17fdf.jpg","http://www.flickr.com/photos/berniedup/8066226485/","Orang Utan Male Pongo pygmaeus by berniedup, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=pongo+pygmaeus&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Bornean_orangutan","http://eol.org/pages/326450/overview","http://www.iucnredlist.org/details/17975/0","http://www.arkive.org/bornean-orangutan/pongo-pygmaeus/","http://data.gbif.org/species/5219532/"
9,"Ketupa ketupu","Buffy Fish Owl","Least Concern","stable","rarely seen",FALSE,TRUE,FALSE,"Also known as the fishing owl. They live near water and eat fish as well as small mammals and birds. They are distinguished by their brilliant yellowish eyes and prominent ear-tufts, usually tilted at 45 degrees.  They possess a diagnostic white patch above the bill, distinguished from Brown Fish Owl by its darker plumage with thicker black streaks. It can grow as tall as 50cm.
It is nocturnal and terrestrial in habit. It rests in a tree during the day until dusk when it leaves in search of food. They feed on fish, frogs and crustaceans near streams, as well as bats and small birds. Sharp spicules on the underside of its toes enables the owl to grab on to slippery fish. While silent flight is a hallmark of owls’ mastery of nocturnal hunting, the buffy fish owl and its relatives have actually lost the soft fringes that are found along the rear edge of the wing feathers in other owl species, which enables owls to fly without making a single sound. Since fishes don’t pick up airborne sounds very well, there is little need for the buffy fish owl to conceal the sound of its approach as it swoops in for the kill.
Buffy fish owls do not build their own nests, but rather use the abandoned nests of other birds or a tree cavity. The female lays one egg, which hatches approximately one month later. A mature adult is approximately 20 inches (43 to 50 cm) in length and has a wingspan of 17 inches (36 cm).","Bangladesh; Brunei Darussalam; Cambodia; Indonesia; Lao People’s Democratic Republic; Malaysia; Myanmar; Singapore; Thailand; Vietnam.","Subtropical or tropical moist montanes.","Fish, lizards and small rodents.","Humans may poach.","Not currently threatened.","http://farm4.staticflickr.com/3049/2830172639_5e07e74e5a.jpg","http://www.flickr.com/photos/johnnizam/2830172639/","Buffy Fish-Owl (Ketupa ketupu) by John Bakar - Johnnizam, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=ketupa+ketupu&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Buffy_Fish_Owl","http://eol.org/pages/1178311/overview","http://www.iucnredlist.org/details/106002232/0","","http://data.gbif.org/species/5232234/"
10,"Neofelis diardi","Clouded Leopard","Vulnerable","decreasing","rarely seen",FALSE,TRUE,FALSE,"Also known as the Sunda Clouded Leopard, Enkuli Clouded Leopard, Sunda Islands Clouded Leopard, and the Sundaland Clouded Leopard.  The clouded leopard is the smallest of the big cats, they are secretive and rare in the wild, preferring to remain alone and hidden from view. The hind feet possess flexible ankle joints that allow the foot to rotate backwards as well. Clouded leopards are one of the best climbers in the cat family.Classically considered a single species, the Clouded Leopard has recently been split into two species. Based on analysis of mitochondrial DNA, microsatellites and morphology, Neofelis nebulosa is restricted to mainland Southeast Asia, and N. diardi is found on the islands of Sumatra and Borneo. 
Clouded leopards are a medium-sized cat named for the cloud-like spots on its coat. These provide camouflage in the dappled light of its forest habitat. (In China the cat is known as the ‘Mint Leopard’ because its spots can also look like mint leaves). The cats usually stand 10-16 inches (25-40cm) tall and are 4 to 6 feet (1.2-1.8m) long, almost half of which is the tail. Males tend to be larger and weigh up to 50 pounds (23 kg), while females weigh about 35 pounds (16 kg). Clouded leopards can live to about 17 years old in captivity but will struggle to reach 12 in the wild. 
Clouded leopards are sexually mature around the age of 2 years. The gestation period is 85 to 93 days long with 1 to 5 cubs per litter, although 2 is the most common number. Females can produce a litter every year. Cubs become independent at approximately 10 months of age.","Brunei Darussalam; Indonesia (Kalimantan, Sumatera); Malaysia (Sabah, Sarawak).","Lowland tropical rain forest.","Young sambar deer, barking deer, mouse deer, bearded pig, palm civet, gray leaf monkey, fish and porcupine.","Nothing but are threatened by other big cats.","Deforestation, with oil palm plantations expanding rapidly, as well as logging and clearance for agriculture and settlement . There is substantial illegal trade in clouded leopard skins.","http://farm4.staticflickr.com/3246/2901090110_a31dfcff72.jpg","http://www.flickr.com/photos/canorus/2901090110/","Bornean Clouded Leopard by canorus, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=neofelis+diardi&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Sunda_clouded_leopard","http://eol.org/pages/7241720/overview","http://www.iucnredlist.org/details/136603/0","http://www.arkive.org/diards-clouded-leopard/neofelis-diardi/","http://data.gbif.org/species/5787229/"
