"picture","file","title","page_link","format","doi","contact_email","url","description","citation","legacy_output_id","legacy_user_id"
"800px-Waran1js-150x150.jpg","Twining-2015-MRes-Thesis-scavengers.pdf","The effect of land-use gradients on composition, efficiency, abundance and phenotypic parameters of scavenging vertebrates in Sabah, Northern Borneo","index.html%3Fp=69225.html","Masters Thesis",NA,NA,NA,"Human land-use is continuously altering the natural environment yet the greater ecological implications on many groups that are key to healthy ecosystem functioning remain uncharacterised in the tropics. Scavenging vertebrates provide integral ecosystem services through the removal of carrion; a crucial role in nutrient cycling and disease dynamics. To explore how anthropogenic processes may effect such services we investigated the effects of land use on scavenger community composition, abundance, efficiency and health. Scavenger community composition is altered with increasing land-use pressures, mammalian scavengers are unable to persist in highly degraded habitats and an increased abundance of Water monitors (V.s. macromaculatus) to fill the extirpated niche is observed. Contrary to previous research land-use has minimal effect on community efficiency and established areas of disturbance display similar carrion removal rates to areas unaffected by human activity. However active habitat change causes a decrease in biodiversity, abundance and efficiency of scavenger communities, the wider implications of this are yet fully understood.","A Masters thesis by Joshua Twining, 2015.",1,208
"12688246_1184512164892169_4482480758856873_n-110x110.jpg","Twining-2015-MRes-Thesis-multitrophic-ecosystem-fluxes.pdf","The effects of land-use on biodiversity and ecological functioning in a multi-trophic ecosystem (Coleoptera) in Sabah, Northern Borneo.","index.html%3Fp=69220.html","Masters Thesis",NA,NA,NA,"The effects of habitat alteration on ecosystem functioning remain largely unquantified in the tropics. Logged forests have been shown to maintain relatively high biodiversity, but it remains unclear if this correlates with ecological functioning. This study used metabolic theory to model energy flux in Coleopteran (beetle) food webs in primary and secondary habitats in Malaysia. It was found that across heterogeneous habitat types, ecological functioning is maintained along a land- use gradient of intermediate logging. Within primary homogenous habitat types, ecological functioning is found to be significantly positively correlated to non-beetle above ground biomass. Observed leaf litter beetle biodiversity is highest in areas of intermediate disturbance. In support of previous in situ experiments, I provide evidence of a real world example of a significant correlation between biodiversity and ecological functioning.","A Masters thesis by Joshua Twining, 2015.",2,208
"11149364_1006990229311031_2780755881767316240_n-110x110.jpg","Mullin-2015-MSc-Thesis-riparian-bats.pdf","Investigating the importance of riparian reserves for insectivorous bat species in oil palm and forest estates in Sabah, Malaysia","index.html%3Fp=69216.html","Masters Thesis",NA,NA,NA,"The expansion of oil palm cultivation is a major contributor to biodiversity loss in tropical countries. Riparian reserves, areas of native forest along rivers, offer a way of managing the maintenance of native species and their associated ecological processes within agricultural landscapes. Using acoustic sampling the importance of riparian reserves for insectivorous bats (Chiroptera) in oil palm plantations was investigated by comparing bat activity, feeding activity and species composition in riparian zones in logged forest with that in established riparian reserves within oil palm plantations. I also investigated whether bat activity was associated with riparian habitat covariates to gain an insight into possible optimum characteristics of reserves for bats. The results show that bat activity and feeding activity did not vary between the two riparian types suggesting that that for insectivorous bats riparian reserves in oil palm support similar activity to that in logged forest. However, Constant Frequency species composition did vary between the two river types. Fewer of the forest-dwelling species Rhinolophus trifoliatus, Rhinolophus sedulus, Rhinolophus borneensis and Hipposideros ridleyi and a higher abundance of edge/open forest species Hipposideros galeritus and Hipposideros cervinus were found in oil palm riparian reserves. Canopy cover was a key habitat covariate in explaining variation in bat activity. Hence, my results show that riparian reserves sustain bat activity and provide foraging grounds for bats within an oil palm landscape, however the reserves may not provide large enough fragments of forest with sufficient complexity in vegetation structure to sustain the more vulnerable forest-dwelling species. Up to now, the possible benefits of riparian reserves have been poorly studied in Southeast Asia, therefore my results provide an insight into the extent of the ecological benefits these reserves may have in forest-agricultural landscapes.","A Masters thesis by Katherine Mullin, 2015.",3,149
"2-12-Sub-adult-Whitehead-Maxomys-whiteheadi-110x110.jpg","Harrison-2015-MSc-Thesis-Viability-of-camera-trapping-in-comparison-to-live-trapping.pdf","A comparison of camera trapping and live trapping techniques for the surveying of small mammals in Sabah, Malaysian Borneo","index.html%3Fp=69212.html","Masters Thesis",NA,NA,NA,"1. Camera traps are quickly becoming a staple in the surveying of medium and large terrestrial mammals, but their application in the surveying of small mammals has yet to be established. This study aims to test the effectiveness of camera trapping in comparison to traditional live trapping techniques, and verify whether the relative abundance index 'camera trapping rate' can be used as a valid inference of species abundance. 2. Data was taken from 21 sites across the Kalabakan Forest Reserve and the Maliau Basin Conservation Area in Sabah, Malaysian Borneo. The small mammal community was sampled using two methods: baited steel mesh traps and camera traps. Density estimates of small mammal species were derived from the live trapping using the R package secr, and regressed against the camera trapping rate. The two methods were also compared for their ability to detect species and estimate species richness. 3. Live trapping methods detected more species, more often and at less cost than the camera trapping methods in the Bornean rainforest. There was no significant relationship between density estimates derived from the live traps and camera trapping rates across any species except the slender treeshrew. 4. Camera trapping rates cannot be used as a substitute for abundance estimates, until further development in technology and study design significantly improve their detection rate of small, terrestrial mammals. They may be useful in studies requiring only simple presence data, but may underestimate the community present. We do not recommend that any wildlife management decision be based off small mammal camera trap data.","A Masters thesis by Holly Harrison, 2015.",4,242
"10686770_979530485390339_2436587502016737659_n-110x110.jpg","Ladds-2015-MSc-Thesis-mammal-faecal-parasites.pdf","Impacts of tropical rainforest disturbance on mammalian parasitism","index.html%3Fp=69209.html","Masters Thesis",NA,NA,NA,"Rainforest habitats in northern Borneo are becoming more and more fragmented due to the conversion of this land into oil palm plantation. This affects all of the ecological processes and species in these ecosystems, but the extent to which this is damaging is still being studied. Small mammals are abundant in the rainforests of Borneo and it is important to monitor their responses to habitat degradation due to their capacity to transmit diseases to humans. This study investigated the parasite burden of small mammals from different habitats within the SAFE project landscape. It was found that mammal communities are significantly different between different habitats, including, primary forest, logged forest and oil palm plantation. It was also found that the parasite burden of small mammals had a significant relationship with the trapping grid they were found in, with logged forest grids positively affecting the parasite burden of the mammal hosts found within them. These findings provide us with important baseline information on the parasites found in this area, as well identifying many areas for possible future research.","A Masters thesis by Zosia Ladds, 2015.",5,120
"Density-dependent-predation-dipterocarp-seeds-110x110.jpg","Massam-2015-MRes-Thesis-seedling-recruitment.pdf","Linking the Impact of Selective Logging with Seedling Recruitment Dyanmics","index.html%3Fp=69206.html","Masters Thesis",NA,NA,NA,"1. The natural regeneration of tropical forests is underpinned by successful transition through the recruitment process. Mechanistic forest growth models have received much attention however recruitment at the seedling stage is generally omitted due to a lack of understanding of the physiological mechanisms involved and the vulnerability of seedlings to stochastic events. 2. I examined the growth, mortality and recruitment rates of seedlings in response to recruitment factors across a gradient of logging disturbance in humid tropical forests of Sabah, Malaysian Borneo to elucidate the physiological mechanisms at play. 3. Recruitment was inhibited by competitive interactions which were exacerbated by logging disturbance intensity. This relationship was only weakly observed when not considering the intermediary recruitment factors due to dierential impacts of selective logging on aspects of recruitment. 4. Synthesis. My results unfurl the mechanisms dictating seedling recruitment while demonstrating the importance of considering the context of logging disturbance when inferring causality on seedling recruitment.","A Masters thesis by Michael Massam, 2015.",6,134
"P1011719-150x150.jpg","Psomas-2015-MRes-Thesis-mosquito-development-rates.pdf","The impact of altered forest microclimate on the development rate of mosquito vectors","index.html%3Fp=69203.html","Masters Thesis",NA,NA,NA,"Anthropogenic land-use changes such as deforestation have been associated with increased risk of mosquito-borne diseases. Ecosystem disturbances alter microclimate within the forest including temperature, a key determinant of mosquito development rate, adult body size and most significantly vector capacity. We compared the development rate of mosquito eggs under field microclimatic conditions across an environmental land-use gradient including primary forest (OG), twice-logged forest (LF) and oil palm plantations (OP). We measured adult body size and proportion surviving to adults as simple proxies of adult vectorial capacity. Mean maximum soil temperature and diurnal temperature range (DTR) increased across the land-use gradient from OG to OP. Greater DTRs recorded in OP increased the development time of mosquito vectors. Adult mosquito wing length at emergence significantly increased as development time increased. There was no significant difference between mean wing length and land-use areas, however significant differences were recorded between sampling sites within land-use areas. Microclimatic changes in temperature significantly impact the juvenile stages of mosquito development and therefore indirectly impacting the transmission of disease.","A Masters thesis by Elizabeth Psomas, 2015.",7,169
"Orthotomus-ruficeps-150x150.jpg","Trigg-2015-MSc-Thesis-acoustic-diversity.pdf","Assessment of acoustic indices for monitoring phylogenetic and temporal patterns of biodiversity in tropical forests","index.html%3Fp=69201.html","Masters Thesis",NA,NA,NA,"In the face of environmental change, current downward trends in biodiversity are of the utmost concern to ecologists, conservationists and policy-makers. Biodiversity loss threatens ecosystem function and the services these provide. In order to detect trends in biodiversity through time, and understand the efficacy of conservation policies, the creation of long-term biodiversity datasets are of paramount importance. However, the expensive and time consuming nature of collecting monitoring data means there are very few datasets that consider time-scales of a decade or greater. Despite increasing recognition of its importance in setting conservation priorities, even fewer consider biodiversity in terms of its phylogenetic components. Continuous acoustic recordings have the potential to facilitate the development of long-term biodiversity datasets. Evidence suggests that they can reduce costs, avoid invasive sampling and undertake continuous measurements in remote locations. Recent work has developed acoustic indices which summarise biodiversity using acoustic data. However, there is only limited understanding of how these reflect the temporal dynamics and phylogenetic diversity of tropical ecosystems. This study used acoustic data from the Stability of Altered Forest Ecosystems project in Borneo, to examine the extent to which acoustic indices reflected phylogenetic diversity, and how well they can characterise daily variation in animal activity.

Phylogenetic diversity was compared to three acoustic dissimilarity indices using Mantel tests and Spearman's rank correlation. This revealed that there was no correlation between phylogenetic diversity and acoustic dissimilarity. The results suggest that in complex tropical ecosystems it is difficult to detect a phylogenetic signal in the acoustic indices. This is most likely due to factors such as habitat structure driving phylogenetic and acoustic divergence at different rates. Linear mixed-effects models were used to examine the difference between acoustic diversity and the time categories; dawn and dusk, across three different forest locations. Acoustic diversity was significantly greater at dawn than at dusk. However, there was no difference between the three locations examined. As a result, acoustic indices may be suitable to monitor temporal patterns of diversity in tropical soundscapes. However, the relationship of acoustic indices to species diversity requires further validation.","A Masters thesis by Leah Trigg, 2015.",8,243
"10304770_807485449261511_7212573081748156481_n-110x110.jpg","Williamson-2015-MSc-Thesis-invert-dispersal-x-riverine-corridors.pdf","Aerial Insect Communities Above Tropical Forest Rivers: Are There Directional Patterns to Movement?","index.html%3Fp=69197.html","Masters Thesis",NA,NA,NA,"1. An increasing human population is currently the greatest threat to global biodiversity, as large proportions of natural ecosystems are destroyed, fragmented and degraded to fuel a growing demand for resources. Tropical forests are home to 50% of the Earth's species and a large proportion of those are insects.

2. Insects play a vital role in many ecosystem functions such as pollination, herbivory and dung removal, whilst also being useful bio-indicators for ecosystem health. In ecological models it is often assumed that insect movement is a random process, despite a rapidly growing pool of literature to suggest otherwise.

3. Here we studied the communities of insects that fly above rivers in tropical forest of varying degradation in Sabah, Malaysia. Directional flight intercept traps sampled either insects flying along or across rivers. Insects were identified to order level.

4. A higher diversity of insects was found to fly across rivers compared to along rivers, with differing community compositions also present moving along these two vectors. We suggest that this is due to the river acting as a barrier to insect dispersal, rather than a highway, thus more terrestrial orders are predominantly found flying across rivers to minimize time spent over the water.","A Masters thesis by Joseph Williamson, 2015.",9,220
"10154023_789285791081477_1057222214_n-110x110.jpg","Hemmingmoore-2015-MSc-Thesis-mammals-x-altitude.pdf","Assessing the effect of altitude on the medium and large mammal community in the protected rainforest of Sabah state, Malaysian Borneo","index.html%3Fp=69181.html","Masters Thesis",NA,NA,NA,"Deforestation for oil palm plantation takes place more readily at low elevations and on gradual slopes. However, little is known about the effect of altitude and slope on medium and large mammals, and to what extent logging activities that are dependent on slope and altitude are likely to affect them. A camera trapping study was carried out in four primary and secondary forest locations in Sabah state, Malaysian Borneo to test the effect of altitude and related covariates on individual species abundance, species richness, and the composition of individual communities within the broader species assemblage. This study found that low elevation is only indicative of lower abundance for two species out of 15 assessed, while richness shows a slight increase at midelevations. Four distinct communities were identified, with one dominant at low altitudes, one at high altitudes, and the other two intermittently. These results indicate that medium and large mammals may be resilient to logging activities at low elevations, although the existing protected area network is likely inadequate to provide adequate refuge given future land use changes.","A Masters Thesis by Heather Hemmingmore, 2015",10,88
