rcuk_tags.level,rcuk_tags.subject,rcuk_tags.topic,rcuk_tags.tag
1,"Agri-environmental science",NA,"Agri-environmental science"
2,"Agri-environmental science","Agricultural systems","Agricultural systems"
3,"Agri-environmental science","Agricultural systems","Agricultural inputs"
3,"Agri-environmental science","Agricultural systems","Agricultural systems"
3,"Agri-environmental science","Agricultural systems","Agricultural wastes"
3,"Agri-environmental science","Agricultural systems","Aquaculture"
3,"Agri-environmental science","Agricultural systems","Biodiversity"
3,"Agri-environmental science","Agricultural systems","Climate change"
3,"Agri-environmental science","Agricultural systems","Cropping systems"
3,"Agri-environmental science","Agricultural systems","Crops (food)"
3,"Agri-environmental science","Agricultural systems","Crops (non-food)"
3,"Agri-environmental science","Agricultural systems","Ecology/ecosystem"
3,"Agri-environmental science","Agricultural systems","Forestry, sylviculture"
3,"Agri-environmental science","Agricultural systems","Grazing systems"
3,"Agri-environmental science","Agricultural systems","Horticulture"
3,"Agri-environmental science","Agricultural systems","Livestock"
3,"Agri-environmental science","Agricultural systems","Managed landscapes"
3,"Agri-environmental science","Agricultural systems","Organic farming"
3,"Agri-environmental science","Agricultural systems","Precision agriculture"
3,"Agri-environmental science","Agricultural systems","Resource use efficiency"
3,"Agri-environmental science","Agricultural systems","Short rotation coppice"
3,"Agri-environmental science","Agricultural systems","Sustainable agriculture"
2,"Agri-environmental science","Crop protection","Crop protection"
3,"Agri-environmental science","Crop protection","Biological control"
3,"Agri-environmental science","Crop protection","Chemical ecology"
3,"Agri-environmental science","Crop protection","Crop protection"
3,"Agri-environmental science","Crop protection","Disease control (crops)"
3,"Agri-environmental science","Crop protection","Disease diagnosis (crops)"
3,"Agri-environmental science","Crop protection","Disease resistance (crops)"
3,"Agri-environmental science","Crop protection","Fungicides"
3,"Agri-environmental science","Crop protection","Herbicide resistant plants"
3,"Agri-environmental science","Crop protection","Herbicides"
3,"Agri-environmental science","Crop protection","Insecticides"
3,"Agri-environmental science","Crop protection","Integrated pest management"
3,"Agri-environmental science","Crop protection","Invertebrate pests"
3,"Agri-environmental science","Crop protection","Natural enemies"
3,"Agri-environmental science","Crop protection","Pesticides"
3,"Agri-environmental science","Crop protection","Vertebrate pests"
3,"Agri-environmental science","Crop protection","Weeds"
2,"Agri-environmental science","Crop science","Crop science"
3,"Agri-environmental science","Crop science","Cereals"
3,"Agri-environmental science","Crop science","Crop genetics"
3,"Agri-environmental science","Crop science","Crop improvement"
3,"Agri-environmental science","Crop science","Crop science"
3,"Agri-environmental science","Crop science","Genetically modified crops (GM crops)"
3,"Agri-environmental science","Crop science","Horticulture"
3,"Agri-environmental science","Crop science","Oligosaccharides"
3,"Agri-environmental science","Crop science","Plant breeding"
3,"Agri-environmental science","Crop science","Resource use efficiency"
3,"Agri-environmental science","Crop science","Sustainable crop production"
3,"Agri-environmental science","Crop science","Tilling"
2,"Agri-environmental science","Earth and environmental","Earth and environmental"
3,"Agri-environmental science","Earth and environmental","Animal ecology"
3,"Agri-environmental science","Earth and environmental","Applied ecology"
3,"Agri-environmental science","Earth and environmental","Aquatic ecology"
3,"Agri-environmental science","Earth and environmental","Atmospheric  sciences  "
3,"Agri-environmental science","Earth and environmental","Bioclimatology"
3,"Agri-environmental science","Earth and environmental","Biodiversity"
3,"Agri-environmental science","Earth and environmental","Climate change"
3,"Agri-environmental science","Earth and environmental","Climatology"
3,"Agri-environmental science","Earth and environmental","Earth and environmental"
3,"Agri-environmental science","Earth and environmental","Ecosystems"
3,"Agri-environmental science","Earth and environmental","Environmental genetics"
3,"Agri-environmental science","Earth and environmental","Environmental geology"
3,"Agri-environmental science","Earth and environmental","Environmental modelling"
3,"Agri-environmental science","Earth and environmental","Environmental protection"
3,"Agri-environmental science","Earth and environmental","Geochemistry"
3,"Agri-environmental science","Earth and environmental","Geomorphology"
3,"Agri-environmental science","Earth and environmental","Geophysics"
3,"Agri-environmental science","Earth and environmental","Glaciology"
3,"Agri-environmental science","Earth and environmental","Human ecology"
3,"Agri-environmental science","Earth and environmental","Hydrology"
3,"Agri-environmental science","Earth and environmental","Limnology"
3,"Agri-environmental science","Earth and environmental","Marine studies"
3,"Agri-environmental science","Earth and environmental","Meteorology"
3,"Agri-environmental science","Earth and environmental","Mineralogy"
3,"Agri-environmental science","Earth and environmental","Oceanography"
3,"Agri-environmental science","Earth and environmental","Palaeontology"
3,"Agri-environmental science","Earth and environmental","Pedology"
3,"Agri-environmental science","Earth and environmental","Plant ecology"
3,"Agri-environmental science","Earth and environmental","Pollution/pollution control"
3,"Agri-environmental science","Earth and environmental","Soil mechanics"
3,"Agri-environmental science","Earth and environmental","Wastes management"
2,"Agri-environmental science","Soil science","Soil science"
3,"Agri-environmental science","Soil science","Bioremediation"
3,"Agri-environmental science","Soil science","Organic matter"
3,"Agri-environmental science","Soil science","Plant-soil interactions"
3,"Agri-environmental science","Soil science","Rhizoremediation"
3,"Agri-environmental science","Soil science","Rhizosphere biology"
3,"Agri-environmental science","Soil science","Soil acidity"
3,"Agri-environmental science","Soil science","Soil biology"
3,"Agri-environmental science","Soil science","Soil chemistry and soil physics"
3,"Agri-environmental science","Soil science","Soil conservation"
3,"Agri-environmental science","Soil science","Soil cultivation"
3,"Agri-environmental science","Soil science","Soil ecosystems"
3,"Agri-environmental science","Soil science","Soil fertility, fertilizers and manures"
3,"Agri-environmental science","Soil science","Soil management"
3,"Agri-environmental science","Soil science","Soil microbiology"
3,"Agri-environmental science","Soil science","Soil pollution"
3,"Agri-environmental science","Soil science","Soil resources"
3,"Agri-environmental science","Soil science","Soil science"
3,"Agri-environmental science","Soil science","Soil structure"
1,"Animal science",NA,"Animal science"
2,"Animal science","3Rs [Reduction, Refinement, Replacement]","3Rs [Reduction, Refinement, Replacement]"
3,"Animal science","3Rs [Reduction, Refinement, Replacement]","3Rs "
3,"Animal science","3Rs [Reduction, Refinement, Replacement]","Reduction (animal welfare)"
3,"Animal science","3Rs [Reduction, Refinement, Replacement]","Refinement"
3,"Animal science","3Rs [Reduction, Refinement, Replacement]","Replacement "
2,"Animal science","Animal and human physiology","Animal and human physiology"
3,"Animal science","Animal and human physiology","Ageing"
3,"Animal science","Animal and human physiology","Anhydrobiosis"
3,"Animal science","Animal and human physiology","Animal and human physiology"
3,"Animal science","Animal and human physiology","Animal metabolism"
3,"Animal science","Animal and human physiology","Biological rhythms"
3,"Animal science","Animal and human physiology","Biomimetics"
3,"Animal science","Animal and human physiology","Cardiac structures"
3,"Animal science","Animal and human physiology","Cardioprotection"
3,"Animal science","Animal and human physiology","Cardiovascular systems"
3,"Animal science","Animal and human physiology","Circadian rhythm (animals)"
3,"Animal science","Animal and human physiology","Exercise"
3,"Animal science","Animal and human physiology","Flight"
3,"Animal science","Animal and human physiology","Homeostasis"
3,"Animal science","Animal and human physiology","Integrative animal physiology"
3,"Animal science","Animal and human physiology","Kidney and renal functions"
3,"Animal science","Animal and human physiology","Liver"
3,"Animal science","Animal and human physiology","Nutrient transport in animals"
3,"Animal science","Animal and human physiology","Organogenesis"
3,"Animal science","Animal and human physiology","Respiratory systems"
3,"Animal science","Animal and human physiology","Sensory systems"
3,"Animal science","Animal and human physiology","Skin"
3,"Animal science","Animal and human physiology","Tissue damage (ageing)"
3,"Animal science","Animal and human physiology","Vessels in vivo"
2,"Animal science","Animal behaviour","Animal behaviour"
3,"Animal science","Animal behaviour","Altruism"
3,"Animal science","Animal behaviour","Animal behaviour"
3,"Animal science","Animal behaviour","Animal communications"
3,"Animal science","Animal behaviour","Attention"
3,"Animal science","Animal behaviour","Audition"
3,"Animal science","Animal behaviour","Behavioural choice"
3,"Animal science","Animal behaviour","Biological clocks"
3,"Animal science","Animal behaviour","Circadian rhythm (animals)"
3,"Animal science","Animal behaviour","Cognition"
3,"Animal science","Animal behaviour","Decision making"
3,"Animal science","Animal behaviour","Ethology"
3,"Animal science","Animal behaviour","Foraging"
3,"Animal science","Animal behaviour","Learning"
3,"Animal science","Animal behaviour","Maternal behaviour"
3,"Animal science","Animal behaviour","Mental time travel"
3,"Animal science","Animal behaviour","Modelling behaviour"
3,"Animal science","Animal behaviour","Motivation"
3,"Animal science","Animal behaviour","Multi-sensory processing"
3,"Animal science","Animal behaviour","Olfaction"
3,"Animal science","Animal behaviour","Pheromones"
3,"Animal science","Animal behaviour","Plasticity"
3,"Animal science","Animal behaviour","Psychopharmacology"
3,"Animal science","Animal behaviour","Recognition"
3,"Animal science","Animal behaviour","Risk assessment by animals"
3,"Animal science","Animal behaviour","Sensory perception"
3,"Animal science","Animal behaviour","Sexual selection"
3,"Animal science","Animal behaviour","Social behaviour"
3,"Animal science","Animal behaviour","Social cognition"
3,"Animal science","Animal behaviour","Speech / Vocalisation"
3,"Animal science","Animal behaviour","Stimulus response"
3,"Animal science","Animal behaviour","Theory of mind"
3,"Animal science","Animal behaviour","Vision"
2,"Animal science","Animal diseases","Animal diseases"
3,"Animal science","Animal diseases","Animal diseases"
3,"Animal science","Animal diseases","Anthelmintics"
3,"Animal science","Animal diseases","Avian influenza"
3,"Animal science","Animal diseases","Bacterial diseases (animals)"
3,"Animal science","Animal diseases","Bluetongue"
3,"Animal science","Animal diseases","Bovine tuberculosis"
3,"Animal science","Animal diseases","Chemotherapeutics"
3,"Animal science","Animal diseases","CJD"
3,"Animal science","Animal diseases","Disease control (animals)"
3,"Animal science","Animal diseases","Disease diagnosis (animals)"
3,"Animal science","Animal diseases","Disease modelling (animals)"
3,"Animal science","Animal diseases","Disease transmission"
3,"Animal science","Animal diseases","Drug development"
3,"Animal science","Animal diseases","Drug resistance"
3,"Animal science","Animal diseases","Endemic diseases"
3,"Animal science","Animal diseases","Epidemiology"
3,"Animal science","Animal diseases","Exotic diseases"
3,"Animal science","Animal diseases","Foot-and-mouth disease (FMD)"
3,"Animal science","Animal diseases","Host-pathogen interactions "
3,"Animal science","Animal diseases","Infection"
3,"Animal science","Animal diseases","Inflammation"
3,"Animal science","Animal diseases","Influenza"
3,"Animal science","Animal diseases","Marek's disease"
3,"Animal science","Animal diseases","Necrosis"
3,"Animal science","Animal diseases","Neurodegenerative disease"
3,"Animal science","Animal diseases","Parasitic diseases"
3,"Animal science","Animal diseases","Pathogenesis (animal diseases)"
3,"Animal science","Animal diseases","Protective immunity"
3,"Animal science","Animal diseases","Scrapie"
