"date_posted","thumb","title","content"
"2016-03-02","318BALI2_rdax_300x216-150x150.jpg","Call for SAFE researchers to join symposium at the ATBC-SCB Asia Conservation meeting in Singapore","<p>Eleanor Slade and Matt Struebig of the <a href=""http://http://lombok.hmtf.info/"">NERC-LOMBOK</a> consortium are organising a symposium at the ATBC-SCB Asia Conservation meeting in Singapore about the science behind certification for oil palm and other tree commodity systems. Please see the abstract below. The conference will be 29 June to 2nd July.  See <a href=""/safe_web/static/images/news_legacy/Registration-pre-announcement_final.pdf"">here</a> for further details and also check the website at <a href=""http://www.conservationasia2016.org"">http://www.conservationasia2016.org</a></p><p>They’re looking for a mix of standard and short (3-5min) talks on oil palm sustainability issues. They’d really like to showcase our work in Sabah, and see as many SAFE researchers presenting in our symposium as possible, and of course more widely at the meeting.</p><p>Please can you let <a href=""mailto:m.j.struebig@kent.ac.uk"">Matt</a> and <a href=""mailto:eleanor.slade@zoo.ox.ac.uk"">Eleanor</a> know within a week whether you are likely to attend and whether your topic would fit within the subject, copied below. <strong>The early bird registration expires on 31st March and abstract submission is 20 March, which doesn’t leave us long, so please do get in touch soon.</strong></p><p> </p><p><strong>Managing agro-industrial tree plantations to enhance sustainability: linking science to practice</strong><br/>
Concern over expanding agro-industrial tree plantations, such as oil palm and paper-pulp, has led to certification schemes tasked with improving environmental sustainability. The most advanced standards for safeguarding biodiversity, ecosystem services and social outcomes lie in oil palm certification, but new schemes are being developed elsewhere, especially rubber. Although management practices vary, the three plantation systems have remarkably similar impacts, and share key challenges in achieving environmental sustainability. There is much to be learned from oil palm in the development of new and improved sustainability labels in paper-pulp and rubber.</p><p>The symposium will provide a forum to collate the science learned in oil palm sustainability, and highlight ways to apply this knowledge to rapidly emerging certification schemes of other commodity systems.  We will identify cross-cutting research themes between the three target sectors and help build a consensus on conservation management recommendations for environmental certification. We are especially interested in the applied conservation science behind habitat management and design of plantations, the verification of existing/proposed prioritization toolkits and certification criteria, environmental/socio-economic trade-offs, and the application of emerging mitigation mechanisms such as biodiversity offsetting. Learning from developments in other sustainability meetings, we seek insights from different tree plantation systems in different country contexts, to enhance knowledge exchange between researchers, non-governmental organisations and industry. We will balance short and standard presentations, providing a forum for established and early-career researchers to present their work, and exchange ideas with those they seek to influence.</p>"
"2015-12-09","Orthotomus-ruficeps-150x150.jpg","PhD Opportunity at SAFE - Acoustic Monitoring of Biodiversity","<p>We are seeking a motivated student who is willing to cross the disciplinary boundaries between electrical engineering, mathematics and ecology to develop  and implement a system for continuous, automated monitoring of rainforest biodiversity.  You will work with academics from three departments at Imperial College London to: (1) design, develop and prototype the hardware and software system needed to continuously transmit acoustic data from a field site in tropical rainforest via mobile network; (2) continuously identify targeted species and run automated analyses of acoustic diversity on the data stream; and (3) use these data to investigate the effects of logging tropical rainforest on acoustic diversity and biodiversity.  More details about the project are available here: <a href=""https://workspace.imperial.ac.uk/grantham/Public/SSCP%20DTP/DTP%20projects%202016/LS_Ewers_2016.pdf"">https://workspace.imperial.ac.uk/grantham/Public/SSCP%20DTP/DTP%20projects%202016/LS_Ewers_2016.pdf</a></p><p> </p><p>We particularly encourage applicants with an electrical engineering background, and prior experience in acoustics will be an advantage.</p><p> </p><p>To apply, send a CV and cover letter to Dr. Ewers (<a href=""mailto:r.ewers@imperial.ac.uk"">r.ewers@imperial.ac.uk</a>) by January 18. Informal inquiries can be directed to any of Dr. Ewers (Department of Life Sciences), Dr. Lorenzo Picinali (Dyson School of Design Engineering, <a href=""mailto:l.picinali@imperial.ac.uk"">l.picinali@imperial.ac.uk</a>) or Dr. Nick Jones (Department of Mathematics, <a href=""mailto:nick.jones@imperial.ac.uk"">nick.jones@imperial.ac.uk</a>). Interviews will be held on or before January 29.</p>"
"2015-10-06","NERCPhD_Smammal-Struebig-advert-110x110.jpg","PhD at DICE: Quantifying biodiversity responses to land-use change via non-invasive sampling of tropical mammals","<p>PhD studentship opportunity available at DICE to study fragmentation impacts on tropical small mammals via non invasive genetic sampling. Details in <a href=""/safe_web/static/images/news_legacy/NERCPhD_Smammal-Struebig-advert.pdf"">this pdf</a>  and also available here:</p><p>
  <a href=""http://www.kent.ac.uk/sac/scholarships/nerc-struebig.html"">http://www.kent.ac.uk/sac/scholarships/nerc-struebig.html</a>
</p><p>Deadline is the new year and funding is available through the NERC EnvEast DTP studentship competition. The work would be based at the SAFE project in Sabah, DICE and Queen Mary University of London.</p>"
"2015-07-03","1972344_775075375835852_251915938_n-110x110.jpg","Job Advert: Part-time Data Manager for NERC Human Modified Tropical Forests Programme","<table cellspacing=""0"" cellpadding=""0"">
  <tbody>
    <tr><td class=""erq_searchv4_heading1"" colspan=""4"">Part-time Data Manager for NERC Human Modified Tropical Forests Programme</td>
</tr>
    <tr><td class=""erq_searchv4_heading2"" colspan=""4"">School of Geography and the Environment, Oxford</td>
</tr>
    <tr><td class=""erq_searchv4_heading3"" colspan=""4"">Grade 6: £27,057 – £28,695 p.a. (pro rata)</td>
</tr>
    <tr><td class=""erq_searchv4_heading3"" colspan=""4"">Applications are invited for a part-time (50% FTE) Data Manager position. The work will involve metadata compilation, data description and compilation and archiving of data from across the Human Modified Tropical Forests (HMTF) programme. The HMTF programme is a NERC-funded programme dedicated to exploring the interactions between forest modification and biodiversity and ecosystem function and involves a collaboration across UK Universities and Research Institutes involving research programmes BALI, LOMBOK and ECOFOR conducting research in specific landscapes in Brazil and Malaysia, with collaboration with partner organisations in those countries.
<p style=""text-align: left;"">The position will primarily involve supporting the substantive need for data collation, description, organisation and archiving across this ambitious programme. The successful candidate will be a graduate with good organisational and data archiving skills and understanding of how to handle scientific and geographical data. You will need good collaboration and interaction skills and be able to deliver to key deadlines. Experience in database programming is not required, but ability to manipulate and handle existing databases is essential. An interest in ecological datasets and questions is also desirable.</p>
<p style=""text-align: left;"">The post is available from September 2015 and is fixed-term for 4 years in the first instance.</p>
<p style=""text-align: left;"">Applications for this vacancy are to be made online. You will be required to upload a CV and supporting statement as part of your online application.</p>
<p style=""text-align: left;""><strong>The closing date for applications is 12.00 noon on Wednesday 15 July 2015</strong>. Interviews will be held week commencing 27 July 2015.</p>
</td>
</tr>
  </tbody>
</table><p> </p><p>For a full job description and more information see <a href=""http://www.geog.ox.ac.uk/news/jobs/"">here</a></p><p> </p>"
"2015-06-05","Plantation-Colour-150x150.jpg","September 2015 call for Marie Skłodowska Curie Individual Fellowships","<p>The second call under Horizon 2020 for the Marie Skłodowska Curie Individual Fellowships is open with a deadline of <strong>10 September 2015</strong> (<a href=""https://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/calls/h2020-msca-if-2015.html"">https://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/calls/h2020-msca-if-2015.html</a>).</p><p>We are looking for applicants to be hosted at Imperial College London while working on projects at SAFE. These awards are tailored towards experienced researchers (four years research experience or a PhD), from anywhere in the world.</p><p>If you are interested in making a joint application please contact <a href=""mailto:r.ewers@imperial.ac.uk"">Dr. Robert Ewers</a>.  When you contact him, please be sure to attach your CV and an outline of the project proposal you plan to submit.</p>"
"2015-05-07","fig-4-110x110.jpg","Curious ant-associated beetles struggle after rainforest logging impacts their ant hosts","<p>New work by students at Imperial College London has shown that logging of tropical forests reduces the number of leaf-litter dwelling ants and a specialised group of beetles that live with the ants. Some species of the ant-associated beetles were identified as being entirely dependent on their ant hosts.</p><p>Species diversity and abundance was compared between sites that had been logged and primary forest. Logging didn’t change the number or diversity of ant genera, but there were fewer ants in logged forest than in primary forest.  There were also variation in the species compositions found in the different forest types, meaning they host different types of ant and ant-associated beetles.  Where there were fewer ants, there was lower diversity of the ant-associated beetles.</p><p>This pair of studies highlights the importance of understanding the relationships between species and the identification of functionally significant species and their potential effects on ecosystem function. They also emphasises the importance of protecting twice logged forest in addition to the more spectacular primary forest.</p><p style=""text-align: center;"">
  <a href=""/safe_web/static/images/news_legacy/Fig-3.jpg"">
    <img class=""alignnone size-medium wp-image-68938"" src=""/safe_web/static/images/news_legacy/Fig-3-176x250.jpg"" alt=""Fig 3"" width=""176"" height=""250""/>
  </a>
  <a href=""/safe_web/static/images/news_legacy/Fig-71.jpg"">
    <img class=""alignnone size-medium wp-image-68951"" src=""/safe_web/static/images/news_legacy/Fig-71-176x250.jpg"" alt=""Fig 7"" width=""176"" height=""250""/>
  </a>
</p><p style=""text-align: center;"">Close up images of ant-associated beetles and the highly adapted structure of their antennae.</p><p>Ants were identified using ID charts and compound microscopes and divided into functional groups. Morphological analysis was carried out on selected traits of ant-associated beetles using electron microscopes to examine the highly evolved structures of their antennae at very high resolution. Specimens were collected from three locations in Sabah Borneo: two old growth rainforest sites and one twice logged site.</p><p>This work was conducted at the Stability of Altered Forest Ecosystems (SAFE) Project, one of the world’s largest ecological experiments that takes advantage of the conversion of a logged forest into oil palm plantation to assess the impacts of land use change on the local ecosystem.</p><p>Psomas, E. (2015) <a href=""http://www.safeproject.net/output/ant-diversity-as-a-direct-and-indirect-driver-of-pselaphinae-beetle-functional-diversity-in-tropical-rainforests-sabah-borneo-elizabeth-psomas-march-2015/"">Ant diversity as a direct and indirect driver of Pselaphinae beetle functional diversity in tropical rainforests, Sabah, Borneo</a>. MRes Thesis. Imperial College London.</p><p>Bell, T.E.M. (2015) <a href=""http://www.safeproject.net/output/changes-in-ant-communities-across-a-tropical-rainforest-landscape-which-incudes-old-growth-and-twice-logged-areas-in-sabah-malaysia/"">Changes in Ant Communities Across a Tropical Rainforest Landscape Which Incudes Old Growth and Twice-logged Areas in Sabah, Malaysia</a>. MRes Thesis. Imperial College London.</p><p> </p>"
"2015-04-28","forest-safe-110x110.jpg","Studentships","<p>We welcome applications for postgraduate studentships (MSc, PhD or postdoc) from suitably qualified candidates, supported by a supervisor at the Universiti Malaysia Sabah.</p><p>Funding for at least three postgraduate researchers is available as part of the UK’s Natural Environment Research Council Human Modified Tropical Forest Programme (<a title=""HMTF"" href=""http://hmtf.info/"" target=""_blank"">HMTF</a>), working in collaboration with the <a title=""SAFE"" href=""http://www.safeproject.net/"" target=""_blank"">SAFE</a> Project and <a title=""SEARRP"" href=""http://www.searrp.org/"" target=""_blank"">SEARRP</a>. Applications will be received for MSc, PhD and postdoc positions.</p><p>Applicants are expected to propose a topic and a suitable student to undertake the research. The award will be made to lecturers at UMS, but students will be expected to have a co-supervisor at a UK university or research institute. Funding will include travel money to allow the student to spend time in the co-supervisors laboratory.</p><p>Applications should consist of the following documents:<br/>
1. Completed <a href=""/safe_web/static/images/news_legacy/HMTF-PhD-studentship-form.docx"">HMTF PhD studentship form</a><br/>
2. CV of the student<br/>
3. Two academic references for the student</p><p>Individual lecturers are eligible to support a maximum of two applicants.</p><p>To apply, please send completed applications to Olivia Daniel (<a href=""mailto:olivia.daniel08@imperial.ac.uk"">olivia.daniel08@imperial.ac.uk</a>) before 29 May 2015. Applications will be judged by a panel consisting of representatives from University Malaysia Sabah and the HMTF Programme.</p>"
"2015-02-17","Orthotomus-ruficeps-150x150.jpg","New Radio Station Name","<p>We are pleased to announce our new radio station has been christened: <strong>Rainforest Rhythms</strong>! SAFE Project’s new radio station will stream live rainforest sounds directly from Borneo to your computer. The Rainforest Rhythms website will go live this spring allowing you to listen and help identify rainforest creatures, for more information see <a href=""http://www.safeproject.net/projects/continuous-monitoring-of-rainforest-biodiversity-via-acoustic-signal-processing/"">here</a>. Congratulations to Sarah Luke for coming up with the winning name!</p>"
"2015-01-29","2008-11-29_0399b-150x150.jpg","Dr Rob Ewers talks about forest fragmentation and biodiversity","<p>Dr Rob Ewers explains how forest fragmentation occurs, and its effect on biodiversity.</p><p>This series presents the work of Grantham Institute researchers on the potential water- and food-related, economic, ecological and health impacts of climate change, as covered by the IPCC Working Group II.</p><p>Interview can be viewed <a href=""https://www.youtube.com/watch?v=lzf-uX6kGkk"">here</a>.</p>"
"2015-01-20","Phaenandrogomphus-safei-110x110.jpg","A new species of dragonfly - 'the SAFE clawtail', Phaenandrogomphus safei - found at the SAFE Project, in Sabah, Malaysian Borneo","<p>Scientists working at the Stability of Altered Forest Ecosystems (SAFE) Project in Sabah, Malaysian Borneo have discovered a species of dragonfly that is new to science. It is the first time this species has ever been found, and the first species within its genus, <em>Phaenandrogomphus</em>, to be recorded within the island of Borneo. It has been named formally as <em>Phaenandrogomphus safei</em> after the SAFE Project – the research project and site where it was found – and given the common name ‘the SAFE clawtail’ because of the distinctive claw-like appendages at the end of its abdomen.</p><p>A single male was found at one of the SAFE Project streams during standardised dragonfly transect samplings conducted by second author, Sarah Luke, as part of her PhD work studying freshwater macroinvertebrates. The dragonfly is a small member of the family Gomphidae, has a mainly black thorax and abdomen, with pale green stripes.</p><p>
  <a href=""/safe_web/static/images/news_legacy/Phaenandrogomphus-safei.jpg"">
    <img class=""size-medium wp-image-68625 aligncenter"" src=""/safe_web/static/images/news_legacy/Phaenandrogomphus-safei-300x206.jpg"" alt=""Phaenandrogomphus safei"" width=""300"" height=""206""/>
  </a>
</p><p><em>Left:</em> <em>Phaenandrogomphus safei</em> in the field. <em>Top right:</em> <em>Phaenandrogomphus safei</em> holotype. <em>Bottom right:</em> <em>Phaenandrogomphus safei </em>head, dorsal view. Photo credits Sarah Luke and Rory Dow.</p><p> </p><p>The discovery of this dragonfly also sheds light on the taxonomy of another gomphid species, <em>Onychogomphus treadawayi</em>. The most morphologically similar species to the new <em>Phaenandrogomphus safei</em> is not in fact any mainland <em>Phaenandrogomphus </em>species, but actually <em>O.treadawayi</em> which is known from a single male specimen found in the Philippines. It has therefore been decided that<em> O.treadawayi </em>should be reclassified within the genus <em>Phaenandrogomphus.</em></p><p>This is the first new species described from the SAFE Project – a large, long-term study monitoring the impacts of forest disturbance and fragmentation on ecosystems – but it is hoped that as work continues at the site more of Borneo’s unknown fauna will be discovered. First author, Rory Dow said:  “Discoveries such as this demonstrate how much there is still to much learn about the dragonfly fauna of Borneo. Very large areas of Borneo have never been systematically surveyed, or in many cases surveyed at all, for dragonflies; it is very likely that there are numerous discoveries still to be made.”</p><p>However, Dow also commented that “habitat is being changed by human activities at a rapid rate across Borneo, so that time may be running out for many of these fascinating insects, whilst at the same time there is an almost total lack of funding for the kind of survey work needed to find them, and the taxonomic work needed to identify and describe them.”</p><p>The type specimen will be deposited at the Forest Research Centre, Sepilok – a research institution in Sabah. The paper discussing this discovery “<em>Phaenandrogomphus safei</em>, a new species from Sabah, northern Borneo (Odonata: Anisoptera: Gomphidae)” written by Rory A Dow and Sarah H Luke is published open access in the journal Zootaxa and is available here: <a href=""http://dx.doi.org/10.11646/zootaxa.3905.1.10"">http://dx.doi.org/10.11646/zootaxa.3905.1.10</a> .</p><p> </p>"
