"location","type","plot_size","display_order","parent","region","fractal_order","transect_order","centroid_x","centroid_y","source","bbox_xmin","bbox_ymin","bbox_xmax","bbox_ymax","wkt_wgs84"
"SAFE_camp","SAFE basecamp",null,3,null,"SAFE",null,null,117.600859208019,4.72379726588562,"Safe_camp_multi.shp",117.600052183744,4.72325294344581,117.601618593897,4.7244751858062,"SRID=4326;MULTIPOLYGON (((117.6007 4.723325, 117.6007 4.723433, 117.6007 4.723485, 117.6008 4.723371, 117.6007 4.723325)), ((117.6006 4.72341, 117.6006 4.723474, 117.6007 4.723554, 117.6007 4.723494, 117.6006 4.72341)), ((117.6008 4.72334, 117.6008 4.723311, 117.6008 4.723253, 117.6008 4.723278, 117.6008 4.72334)), ((117.6005 4.723362, 117.6005 4.723413, 117.6005 4.723459, 117.6006 4.723404, 117.6005 4.723362)), ((117.6009 4.723622, 117.6009 4.723686, 117.601 4.723761, 117.601 4.72369, 117.6009 4.723622)), ((117.6015 4.723935, 117.6015 4.723887, 117.6015 4.723819, 117.6014 4.72387, 117.6015 4.723935)), ((117.6014 4.72385, 117.6015 4.723812, 117.6015 4.723741, 117.6014 4.72376, 117.6014 4.72385)), ((117.6015 4.72402, 117.6016 4.724, 117.6015 4.723914, 117.6015 4.723949, 117.6015 4.72402)), ((117.6015 4.72412, 117.6016 4.72409, 117.6016 4.724011, 117.6015 4.724044, 117.6015 4.72412)), ((117.601 4.723621, 117.6011 4.72357, 117.601 4.723519, 117.601 4.72357, 117.601 4.723621)), ((117.6001 4.724472, 117.6002 4.724475, 117.6002 4.724295, 117.6001 4.724295, 117.6001 4.724346, 117.6001 4.724342, 117.6001 4.724472)), ((117.6009 4.723672, 117.6009 4.723611, 117.6008 4.723536, 117.6007 4.72359, 117.6009 4.723672)), ((117.6008 4.723516, 117.6009 4.723562, 117.6009 4.723496, 117.6009 4.72346, 117.6008 4.723516)))"
"Flux_tower","Flux tower",null,7,null,"SAFE",null,null,117.603233333333,4.71728333333333,"GPS data",117.603233333333,4.71728333333333,117.603233333333,4.71728333333333,"SRID=4326;POINT (117.6032 4.717283)"
"A_1","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.651542,4.708505,"SAFE_core_sampling_stations_WGS84.shp",117.651542,4.708505,117.651542,4.708505,"SRID=4326;POINT (117.6515 4.708505)"
"A_2","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.651084,4.708578,"SAFE_core_sampling_stations_WGS84.shp",117.651084,4.708578,117.651084,4.708578,"SRID=4326;POINT (117.6511 4.708578)"
"A_3","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.651408,4.70895,"SAFE_core_sampling_stations_WGS84.shp",117.651408,4.70895,117.651408,4.70895,"SRID=4326;POINT (117.6514 4.70895)"
"A_4","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.652428,4.709513,"SAFE_core_sampling_stations_WGS84.shp",117.652428,4.709513,117.652428,4.709513,"SRID=4326;POINT (117.6524 4.709513)"
"A_5","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.651966,4.709589,"SAFE_core_sampling_stations_WGS84.shp",117.651966,4.709589,117.651966,4.709589,"SRID=4326;POINT (117.652 4.709589)"
"A_6","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.652293,4.709968,"SAFE_core_sampling_stations_WGS84.shp",117.652293,4.709968,117.652293,4.709968,"SRID=4326;POINT (117.6523 4.709968)"
"A_7","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.653776,4.711672,"SAFE_core_sampling_stations_WGS84.shp",117.653776,4.711672,117.653776,4.711672,"SRID=4326;POINT (117.6538 4.711672)"
"A_8","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.654236,4.7116,"SAFE_core_sampling_stations_WGS84.shp",117.654236,4.7116,117.654236,4.7116,"SRID=4326;POINT (117.6542 4.7116)"
"A_9","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.654101,4.712049,"SAFE_core_sampling_stations_WGS84.shp",117.654101,4.712049,117.654101,4.712049,"SRID=4326;POINT (117.6541 4.712049)"
"A_10","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.654657,4.712686,"SAFE_core_sampling_stations_WGS84.shp",117.654657,4.712686,117.654657,4.712686,"SRID=4326;POINT (117.6547 4.712686)"
"A_11","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.655121,4.712612,"SAFE_core_sampling_stations_WGS84.shp",117.655121,4.712612,117.655121,4.712612,"SRID=4326;POINT (117.6551 4.712612)"
